step,0,1,2,3,4,5,6,7
194,10,5.41316,4.58684,5.41314,4.58684,1.52644e-05,5.41314,4.58686
195,10,5.41289,4.58711,5.41288,4.58711,1.52025e-05,5.41288,4.58712
196,10,5.41263,4.58737,5.41261,4.58737,1.5141e-05,5.41261,4.58739
197,10,5.41237,4.58763,5.41236,4.58763,1.50797e-05,5.41236,4.58764
198,10,5.41212,4.58788,5.41211,4.58788,1.50187e-05,5.41211,4.58789
199,10,5.41188,4.58812,5.41186,4.58812,1.49579e-05,5.41186,4.58814
200,10,5.41163,4.58837,5.41162,4.58837,1.48974e-05,5.41162,4.58838
201,10,5.4114,4.5886,5.41138,4.5886,1.48372e-05,5.41138,4.58862
202,10,5.41117,4.58883,5.41115,4.58883,1.47772e-05,5.41115,4.58885
203,10,5.41094,4.58906,5.41093,4.58906,1.47175e-05,5.41093,4.58907
204,10,5.41072,4.58928,5.4107,4.58928,1.4658e-05,5.4107,4.5893
205,10,5.4105,4.5895,5.41049,4.5895,1.45988e-05,5.41049,4.58951
206,10,5.41029,4.58971,5.41027,4.58971,1.45398e-05,5.41027,4.58973
207,10,5.41008,4.58992,5.41006,4.58992,1.44811e-05,5.41006,4.58994
208,10,5.40987,4.59013,5.40986,4.59013,1.44226e-05,5.40986,4.59014
209,10,5.40967,4.59033,5.40966,4.59033,1.43644e-05,5.40966,4.59034
210,10,5.40948,4.59052,5.40946,4.59052,1.43064e-05,5.40946,4.59054
211,10,5.40929,4.59071,5.40927,4.59071,1.42487e-05,5.40927,4.59073
212,10,5.4091,4.5909,5.40908,4.5909,1.41912e-05,5.40908,4.59092
213,10,5.40891,4.59109,5.4089,4.59109,1.4134e-05,5.4089,4.5911
214,10,5.40873,4.59127,5.40872,4.59127,1.4077e-05,5.40872,4.59128
215,10,5.40855,4.59145,5.40854,4.59145,1.40202e-05,5.40854,4.59146
216,10,5.40838,4.59162,5.40837,4.59162,1.39637e-05,5.40837,4.59163
217,10,5.40821,4.59179,5.4082,4.59179,1.39074e-05,5.4082,4.5918
218,10,5.40804,4.59196,5.40803,4.59196,1.38513e-05,5.40803,4.59197
219,10,5.40788,4.59212,5.40787,4.59212,1.37955e-05,5.40787,4.59213
220,10,5.40772,4.59228,5.40771,4.59228,1.37399e-05,5.40771,4.59229
221,10,5.40757,4.59243,5.40755,4.59243,1.36845e-05,5.40755,4.59245
222,10,5.40741,4.59259,5.4074,4.59259,1.36294e-05,5.4074,4.5926
223,10,5.40726,4.59274,5.40725,4.59274,1.35745e-05,5.40725,4.59275
224,10,5.40711,4.59289,5.4071,4.59289,1.35198e-05,5.4071,4.5929
225,10,5.40697,4.59303,5.40696,4.59303,1.34654e-05,5.40696,4.59304
226,10,5.40683,4.59317,5.40682,4.59317,1.34112e-05,5.40682,4.59318
227,10,5.40669,4.59331,5.40668,4.59331,1.33572e-05,5.40668,4.59332
228,10,5.40655,4.59345,5.40654,4.59345,1.33034e-05,5.40654,4.59346
229,10,5.40642,4.59358,5.40641,4.59358,1.32499e-05,5.40641,4.59359
230,10,5.40629,4.59371,5.40628,4.59371,1.31966e-05,5.40628,4.59372
231,10,5.40616,4.59384,5.40615,4.59384,1.31435e-05,5.40615,4.59385
232,10,5.40604,4.59396,5.40603,4.59396,1.30906e-05,5.40603,4.59397
233,10,5.40592,4.59408,5.4059,4.59408,1.30379e-05,5.4059,4.5941
234,10,5.4058,4.5942,5.40578,4.5942,1.29855e-05,5.40578,4.59422
235,10,5.40568,4.59432,5.40567,4.59432,1.29333e-05,5.40567,4.59433
236,10,5.40556,4.59444,5.40555,4.59444,1.28813e-05,5.40555,4.59445
237,10,5.40545,4.59455,5.40544,4.59455,1.28295e-05,5.40544,4.59456
238,10,5.40534,4.59466,5.40533,4.59466,1.27779e-05,5.40533,4.59467
239,10,5.40523,4.59477,5.40522,4.59477,1.27265e-05,5.40522,4.59478
240,10,5.40513,4.59487,5.40511,4.59487,1.26754e-05,5.40511,4.59489
241,10,5.40502,4.59498,5.40501,4.59498,1.26244e-05,5.40501,4.59499
242,10,5.40492,4.59508,5.40491,4.59508,1.25737e-05,5.40491,4.59509
243,10,5.40482,4.59518,5.40481,4.59518,1.25232e-05,5.40481,4.59519
244,10,5.40472,4.59528,5.40471,4.59528,1.24728e-05,5.40471,4.59529
245,10,5.40463,4.59537,5.40461,4.59537,1.24227e-05,5.40461,4.59539
246,10,5.40453,4.59547,5.40452,4.59547,1.23728e-05,5.40452,4.59548
247,10,5.40444,4.59556,5.40443,4.59556,1.23231e-05,5.40443,4.59557
248,10,5.40435,4.59565,5.40434,4.59565,1.22736e-05,5.40434,4.59566
249,10,5.40426,4.59574,5.40425,4.59574,1.22243e-05,5.40425,4.59575
250,10,5.40418,4.59582,5.40416,4.59582,1.21752e-05,5.40416,4.59584
251,10,5.40409,4.59591,5.40408,4.59591,1.21263e-05,5.40408,4.59592
252,10,5.40401,4.59599,5.404,4.59599,1.20777e-05,5.404,4.596
253,10,5.40393,4.59607,5.40392,4.59607,1.20292e-05,5.40392,4.59608
254,10,5.40385,4.59615,5.40384,4.59615,1.19809e-05,5.40384,4.59616
255,10,5.40377,4.59623,5.40376,4.59623,1.19328e-05,5.40376,4.59624
256,10,5.40369,4.59631,5.40368,4.59631,1.18849e-05,5.40368,4.59632
257,10,5.40362,4.59638,5.40361,4.59638,1.18372e-05,5.40361,4.59639
258,10,5.40355,4.59645,5.40353,4.59645,1.17897e-05,5.40353,4.59647
259,10,5.40347,4.59653,5.40346,4.59653,1.17423e-05,5.40346,4.59654
260,10,5.4034,4.5966,5.40339,4.5966,1.16952e-05,5.40339,4.59661
261,10,5.40333,4.59667,5.40332,4.59667,1.16483e-05,5.40332,4.59668
262,10,5.40327,4.59673,5.40325,4.59673,1.16016e-05,5.40325,4.59675
263,10,5.4032,4.5968,5.40319,4.5968,1.1555e-05,5.40319,4.59681
264,10,5.40314,4.59686,5.40312,4.59686,1.15086e-05,5.40312,4.59688
265,10,5.40307,4.59693,5.40306,4.59693,1.14625e-05,5.40306,4.59694
266,10,5.40301,4.59699,5.403,4.59699,1.14165e-05,5.403,4.597
267,10,5.40295,4.59705,5.40294,4.59705,1.13707e-05,5.40294,4.59706
268,10,5.40289,4.59711,5.40288,4.59711,1.13251e-05,5.40288,4.59712
269,10,5.40283,4.59717,5.40282,4.59717,1.12797e-05,5.40282,4.59718
270,10,5.40277,4.59723,5.40276,4.59723,1.12344e-05,5.40276,4.59724
271,10,5.40272,4.59728,5.40271,4.59728,1.11894e-05,5.40271,4.59729
272,10,5.40266,4.59734,5.40265,4.59734,1.11445e-05,5.40265,4.59735
273,10,5.40261,4.59739,5.4026,4.59739,1.10998e-05,5.4026,4.5974
274,10,5.40255,4.59745,5.40254,4.59745,1.10553e-05,5.40254,4.59746
275,10,5.4025,4.5975,5.40249,4.5975,1.1011e-05,5.40249,4.59751
276,10,5.40245,4.59755,5.40244,4.59755,1.09668e-05,5.40244,4.59756
277,10,5.4024,4.5976,5.40239,4.5976,1.09229e-05,5.40239,4.59761
278,10,5.40235,4.59765,5.40234,4.59765,1.08791e-05,5.40234,4.59766
279,10,5.40231,4.59769,5.4023,4.59769,1.08355e-05,5.4023,4.5977
280,10,5.40226,4.59774,5.40225,4.59774,1.0792e-05,5.40225,4.59775
281,10,5.40221,4.59779,5.4022,4.59779,1.07488e-05,5.4022,4.5978
282,10,5.40217,4.59783,5.40216,4.59783,1.07057e-05,5.40216,4.59784
283,10,5.40212,4.59788,5.40211,4.59788,1.06628e-05,5.40211,4.59789
284,10,5.40208,4.59792,5.40207,4.59792,1.062e-05,5.40207,4.59793
285,10,5.40204,4.59796,5.40203,4.59796,1.05775e-05,5.40203,4.59797
286,10,5.402,4.598,5.40199,4.598,1.05351e-05,5.40199,4.59801
287,10,5.40196,4.59804,5.40195,4.59804,1.04929e-05,5.40195,4.59805
288,10,5.40192,4.59808,5.40191,4.59808,1.04508e-05,5.40191,4.59809
289,10,5.40188,4.59812,5.40187,4.59812,1.04089e-05,5.40187,4.59813
290,10,5.40184,4.59816,5.40183,4.59816,1.03672e-05,5.40183,4.59817
291,10,5.4018,4.5982,5.40179,4.5982,1.03257e-05,5.40179,4.59821
292,10,5.40177,4.59823,5.40176,4.59823,1.02843e-05,5.40176,4.59824
293,10,5.40173,4.59827,5.40172,4.59827,1.02431e-05,5.40172,4.59828
294,10,5.4017,4.5983,5.40169,4.5983,1.02021e-05,5.40169,4.59831
295,10,5.40166,4.59834,5.40165,4.59834,1.01612e-05,5.40165,4.59835
296,10,5.40163,4.59837,5.40162,4.59837,1.01205e-05,5.40162,4.59838
297,10,5.4016,4.5984,5.40159,4.5984,1.00799e-05,5.40159,4.59841
298,10,5.40156,4.59844,5.40155,4.59844,1.00396e-05,5.40155,4.59845
299,10,5.40153,4.59847,5.40152,4.59847,9.99935e-06,5.40152,4.59848
300,10,5.4015,4.5985,5.40149,4.5985,9.95929e-06,5.40149,4.59851
301,10,5.40147,4.59853,5.40146,4.59853,9.9194e-06,5.40146,4.59854
302,10,5.40144,4.59856,5.40143,4.59856,9.87967e-06,5.40143,4.59857
303,10,5.40141,4.59859,5.4014,4.59859,9.8401e-06,5.4014,4.5986
304,10,5.40138,4.59862,5.40137,4.59862,9.80068e-06,5.40137,4.59863
305,10,5.40135,4.59865,5.40134,4.59865,9.76143e-06,5.40134,4.59866
306,10,5.40133,4.59867,5.40132,4.59867,9.72233e-06,5.40132,4.59868
307,10,5.4013,4.5987,5.40129,4.5987,9.6834e-06,5.40129,4.59871
308,10,5.40127,4.59873,5.40126,4.59873,9.64462e-06,5.40126,4.59874
309,10,5.40125,4.59875,5.40124,4.59875,9.60599e-06,5.40124,4.59876
310,10,5.40122,4.59878,5.40121,4.59878,9.56752e-06,5.40121,4.59879
311,10,5.4012,4.5988,5.40119,4.5988,9.52921e-06,5.40119,4.59881
312,10,5.40117,4.59883,5.40116,4.59883,9.49105e-06,5.40116,4.59884
313,10,5.40115,4.59885,5.40114,4.59885,9.45304e-06,5.40114,4.59886
314,10,5.40113,4.59887,5.40112,4.59887,9.41519e-06,5.40112,4.59888
315,10,5.4011,4.5989,5.40109,4.5989,9.37749e-06,5.40109,4.59891
316,10,5.40108,4.59892,5.40107,4.59892,9.33994e-06,5.40107,4.59893
