points,value
1355,56273.9
1356,56274
1357,56274
1358,56274
1359,56274
1360,56274
1361,56274
1362,56274
1363,56274.1
1364,56274.1
1365,56274.1
1366,56274.1
1367,56274.1
1368,56274.1
1369,56274.2
1370,56274.2
1371,56274.2
1372,56274.2
1373,56274.2
1374,56274.2
1375,56274.3
1376,56274.3
1377,56274.3
1378,56274.3
1379,56274.3
1380,56274.3
1381,56274.4
1382,56274.4
1383,56274.4
1384,56274.4
1385,56274.4
1386,56274.4
1387,56274.5
1388,56274.5
1389,56274.5
1390,56274.5
1391,56274.5
1392,56274.5
1393,56274.6
1394,56274.6
1395,56274.6
1396,56274.6
1397,56274.6
1398,56274.6
1399,56274.7
1400,56274.7
1401,56274.7
1402,56274.7
1403,56274.7
1404,56274.7
1405,56274.8
1406,56274.8
1407,56274.8
1408,56274.8
1409,56274.8
1410,56274.8
1411,56274.8
1412,56274.9
1413,56274.9
1414,56274.9
1415,56274.9
1416,56274.9
1417,56274.9
1418,56275
1419,56275
1420,56275
1421,56275
1422,56275
1423,56275
1424,56275.1
1425,56275.1
1426,56275.1
1427,56275.1
1428,56275.1
1429,56275.1
1430,56275.2
1431,56275.2
1432,56275.2
1433,56275.2
1434,56275.2
1435,56275.2
1436,56275.3
1437,56275.3
1438,56275.3
1439,56275.3
1440,56275.3
1441,56275.3
1442,56275.4
1443,56275.4
1444,56275.4
1445,56275.4
1446,56275.4
1447,56275.4
1448,56275.5
1449,56275.5
1450,56275.5
1451,56275.5
1452,56275.5
1453,56275.5
1454,56275.6
1455,56275.6
1456,56275.6
1457,56275.6
1458,56275.6
1459,56275.6
1460,56275.7
1461,56275.7
1462,56275.7
1463,56275.7
1464,56275.7
1465,56275.7
1466,56275.8
1467,56275.8
1468,56275.8
1469,56275.8
1470,56275.8
1471,56275.8
1472,56275.9
1473,56275.9
1474,56275.9
1475,56275.9
1476,56275.9
1477,56275.9
1478,56275.9
1479,56276
1480,56276
1481,56276
1482,56276
1483,56276
1484,56276
1485,56276.1
1486,56276.1
1487,56276.1
1488,56276.1
1489,56276.1
1490,56276.1
1491,56276.2
1492,56276.2
1493,56276.2
1494,56276.2
1495,56276.2
1496,56276.2
1497,56276.3
1498,56276.3
1499,56276.3
1500,56276.3
1501,56276.3
1502,56276.3
1503,56276.4
1504,56276.4
1505,56276.4
1506,56276.4
1507,56276.4
1508,56276.4
1509,56276.5
1510,56276.5
1511,56276.5
1512,56276.5
1513,56276.5
1514,56276.5
1515,56276.6
1516,56276.6
1517,56276.6
1518,56276.6
