step,0,1,2,3,4,5,6,7
263,10,5.74807,4.25193,5.33412,4.25193,0.413949,5.33412,4.66588
264,10,5.74887,4.25113,5.32783,4.25113,0.421042,5.32783,4.67217
265,10,5.74965,4.25035,5.32151,4.25035,0.428139,5.32151,4.67849
266,10,5.75041,4.24959,5.31517,4.24959,0.435241,5.31517,4.68483
267,10,5.75116,4.24884,5.30881,4.24884,0.442348,5.30881,4.69119
268,10,5.75189,4.24811,5.30243,4.24811,0.44946,5.30243,4.69757
269,10,5.7526,4.2474,5.29603,4.2474,0.456576,5.29603,4.70397
270,10,5.75331,4.24669,5.28961,4.24669,0.463699,5.28961,4.71039
271,10,5.75412,4.24588,5.28302,4.24588,0.471101,5.28302,4.71698
272,10,5.75504,4.24496,5.27626,4.24496,0.47878,5.27626,4.72374
273,10,5.75603,4.24397,5.26935,4.24397,0.486687,5.26935,4.73065
274,10,5.75711,4.24289,5.26229,4.24289,0.494817,5.26229,4.73771
275,10,5.75823,4.24177,5.25511,4.24177,0.503121,5.25511,4.74489
276,10,5.75938,4.24062,5.24784,4.24062,0.511543,5.24784,4.75216
277,10,5.76056,4.23944,5.24048,4.23944,0.520082,5.24048,4.75952
278,10,5.76176,4.23824,5.23302,4.23824,0.528737,5.23302,4.76698
279,10,5.76297,4.23703,5.22549,4.23703,0.537476,5.22549,4.77451
280,10,5.76419,4.23581,5.21789,4.23581,0.546296,5.21789,4.78211
281,10,5.76541,4.23459,5.21021,4.23459,0.555199,5.21021,4.78979
282,10,5.76665,4.23335,5.20246,4.23335,0.564182,5.20246,4.79754
283,10,5.76787,4.23213,5.19466,4.23213,0.573209,5.19466,4.80534
284,10,5.76909,4.23091,5.18681,4.23091,0.582278,5.18681,4.81319
285,10,5.77029,4.22971,5.1789,4.22971,0.59139,5.1789,4.8211
286,10,5.77149,4.22851,5.17095,4.22851,0.600545,5.17095,4.82905
287,10,5.77268,4.22732,5.16294,4.22732,0.609742,5.16294,4.83706
288,10,5.77386,4.22614,5.15488,4.22614,0.618981,5.15488,4.84512
289,10,5.77502,4.22498,5.1468,4.22498,0.62822,5.1468,4.8532
290,10,5.77615,4.22385,5.13869,4.22385,0.637459,5.13869,4.86131
291,10,5.77726,4.22274,5.13056,4.22274,0.646698,5.13056,4.86944
292,10,5.77834,4.22166,5.1224,4.22166,0.655937,5.1224,4.8776
293,10,5.7794,4.2206,5.11422,4.2206,0.665177,5.11422,4.88578
294,10,5.78044,4.21956,5.10602,4.21956,0.674418,5.10602,4.89398
295,10,5.78146,4.21854,5.0978,4.21854,0.683661,5.0978,4.9022
296,10,5.78245,4.21755,5.08955,4.21755,0.692905,5.08955,4.91045
297,10,5.78343,4.21657,5.08128,4.21657,0.702151,5.08128,4.91872
298,10,5.78439,4.21561,5.07299,4.21561,0.711398,5.07299,4.92701
299,10,5.78534,4.21466,5.06469,4.21466,0.720649,5.06469,4.93531
300,10,5.78626,4.21374,5.05636,4.21374,0.729901,5.05636,4.94364
301,10,5.78717,4.21283,5.04801,4.21283,0.739156,5.04801,4.95199
302,10,5.78817,4.21183,5.03952,4.21183,0.74865,5.03952,4.96048
303,10,5.78926,4.21074,5.03088,4.21074,0.758377,5.03088,4.96912
304,10,5.7904,4.2096,5.02212,4.2096,0.768285,5.02212,4.97788
305,10,5.79161,4.20839,5.01324,4.20839,0.778368,5.01324,4.98676
