step,0,1,2,3,4,5,6,7,8,9,10
225,10,3.35529,6.64471,3.35529,3.54087,3.10384,3.35529,3.54087,3.10384,6.89616,3.10384
226,10,3.35519,6.64481,3.35519,3.54084,3.10397,3.35519,3.54084,3.10397,6.89603,3.10397
227,10,3.3551,6.6449,3.3551,3.54081,3.10409,3.3551,3.54081,3.10409,6.89591,3.10409
228,10,3.35501,6.64499,3.35501,3.54078,3.10421,3.35501,3.54078,3.10421,6.89579,3.10421
229,10,3.35492,6.64508,3.35492,3.54075,3.10433,3.35492,3.54075,3.10433,6.89567,3.10433
230,10,3.35483,6.64517,3.35483,3.54073,3.10444,3.35483,3.54073,3.10444,6.89556,3.10444
231,10,3.35475,6.64525,3.35475,3.5407,3.10455,3.35475,3.5407,3.10455,6.89545,3.10455
232,10,3.35467,6.64533,3.35467,3.54068,3.10466,3.35467,3.54068,3.10466,6.89534,3.10466
233,10,3.35459,6.64541,3.35459,3.54065,3.10476,3.35459,3.54065,3.10476,6.89524,3.10476
234,10,3.35451,6.64549,3.35451,3.54063,3.10486,3.35451,3.54063,3.10486,6.89514,3.10486
235,10,3.35444,6.64556,3.35444,3.54061,3.10496,3.35444,3.54061,3.10496,6.89504,3.10496
236,10,3.35437,6.64563,3.35437,3.54058,3.10505,3.35437,3.54058,3.10505,6.89495,3.10505
237,10,3.3543,6.6457,3.3543,3.54056,3.10514,3.3543,3.54056,3.10514,6.89486,3.10514
238,10,3.35423,6.64577,3.35423,3.54054,3.10523,3.35423,3.54054,3.10523,6.89477,3.10523
239,10,3.35416,6.64584,3.35416,3.54052,3.10531,3.35416,3.54052,3.10531,6.89469,3.10531
240,10,3.3541,6.6459,3.3541,3.54051,3.10539,3.3541,3.54051,3.10539,6.89461,3.10539
241,10,3.35404,6.64596,3.35404,3.54049,3.10547,3.35404,3.54049,3.10547,6.89453,3.10547
242,10,3.35398,6.64602,3.35398,3.54047,3.10555,3.35398,3.54047,3.10555,6.89445,3.10555
243,10,3.35392,6.64608,3.35392,3.54045,3.10562,3.35392,3.54045,3.10562,6.89438,3.10562
