step,0,1,2,3
569,3.70297,-8.0993,1.60368,5.40594
570,3.70373,-8.0993,1.60444,5.40746
571,3.70449,-8.0993,1.60519,5.40898
572,3.70525,-8.0993,1.60595,5.41049
573,3.706,-8.0993,1.6067,5.412
574,3.70675,-8.0993,1.60745,5.4135
575,3.7075,-8.0993,1.6082,5.415
576,3.70824,-8.0993,1.60895,5.41649
577,3.70899,-8.0993,1.60969,5.41797
578,3.70973,-8.0993,1.61043,5.41945
579,3.71047,-8.0993,1.61117,5.42093
580,3.7112,-8.0993,1.6119,5.4224
581,3.71193,-8.0993,1.61264,5.42387
582,3.71266,-8.0993,1.61337,5.42533
583,3.71339,-8.0993,1.6141,5.42678
584,3.71412,-8.0993,1.61482,5.42823
585,3.71484,-8.0993,1.61554,5.42968
586,3.71556,-8.0993,1.61626,5.43112
587,3.71628,-8.0993,1.61698,5.43255
588,3.71699,-8.0993,1.6177,5.43398
589,3.7177,-8.0993,1.61841,5.43541
590,3.71841,-8.0993,1.61912,5.43683
591,3.71912,-8.0993,1.61983,5.43824
592,3.71983,-8.0993,1.62053,5.43965
593,3.72053,-8.0993,1.62123,5.44106
594,3.72123,-8.0993,1.62193,5.44246
595,3.72193,-8.0993,1.62263,5.44385
596,3.72262,-8.0993,1.62333,5.44524
597,3.72331,-8.0993,1.62402,5.44663
598,3.724,-8.0993,1.62471,5.44801
599,3.72469,-8.0993,1.6254,5.44938
600,3.72538,-8.0993,1.62608,5.45075
601,3.72606,-8.0993,1.62676,5.45212
602,3.72674,-8.0993,1.62744,5.45348
603,3.72741,-8.0993,1.62812,5.45483
604,3.72809,-8.0993,1.62879,5.45618
605,3.72876,-8.0993,1.62947,5.45752
606,3.72943,-8.0993,1.63014,5.45886
607,3.7301,-8.0993,1.6308,5.4602
